0,43
44,70
71,97
98,124
125,509
510,894
895,1279
1280,1664
1665,2049
2050,2079
2080,2419
2420,2452
2453,2762
2763,3072
3073,3102
3103,3385
3386,3415
3416,3674
3675,3704
3705,3942
3943,3965
3966,4298
4299,4631
4632,4964
4965,5297
5298,5630
5631,5963
5964,6296
6297,6629
6630,6962
6963,7295
7296,7628
7629,7961
7962,8294
8295,8627
8628,8960
8961,9293
9294,9626
9627,9959
9960,10292
10293,10320
10321,10732
10733,11144
11145,11556
11557,11968
11969,12380
12381,12792
12793,12823
12824,13217
13218,13611
13612,13643
13644,13999
14000,14355
14356,14386
14387,14712
14713,15038
15039,15068
15069,15362
15363,15656
15657,15686
