0.34202,0,0.93969,-0.025508
0,1,0,0
-0.93969,0,0.34202,0.11655
0,0,0,1
0.5,0,0.86603,-0.027349
0,1,0,0
-0.86603,0,0.5,0.1205
0,0,0,1
0.64279,0,0.76604,-0.029849
0,1,0,0
-0.76604,0,0.64279,0.12407
0,0,0,1
0.76604,0,0.64279,-0.03293
0,1,0,0
-0.64279,0,0.76604,0.12715
0,0,0,1
0.86603,0,0.5,-0.0365
0,1,0,0
-0.5,0,0.86603,0.12965
0,0,0,1
0.93969,0,0.34202,-0.040449
0,1,0,0
-0.34202,0,0.93969,0.13149
0,0,0,1
0.98481,0,0.17365,-0.044659
0,1,0,0
-0.17365,0,0.98481,0.13262
0,0,0,1
1,0,0,-0.049
0,1,0,0
0,0,1,0.133
0,0,0,1
0.98481,0,-0.17365,-0.053341
0,1,0,0
0.17365,0,0.98481,0.13262
0,0,0,1
0.93969,0,-0.34202,-0.057551
0,1,0,0
0.34202,0,0.93969,0.13149
0,0,0,1
0.86603,0,-0.5,-0.0615
0,1,0,0
0.5,0,0.86603,0.12965
0,0,0,1
0.76604,0,-0.64279,-0.06507
0,1,0,0
0.64279,0,0.76604,0.12715
0,0,0,1
0.64279,0,-0.76604,-0.068151
0,1,0,0
0.76604,0,0.64279,0.12407
0,0,0,1
0.5,0,-0.86603,-0.070651
0,1,0,0
0.86603,0,0.5,0.1205
0,0,0,1
0.34202,0,-0.93969,-0.072492
0,1,0,0
0.93969,0,0.34202,0.11655
0,0,0,1
